#C  Sigma  Error #Support_vectors
0.1 0.1 0.0522514868309 664
0.1 1 0.947748513169 664
0.1 5 0.0522514868309 666
0.1 10 0.947748513169 664
1 0.1 0.0522514868309 666
1 1 0.0522514868309 664
1 5 0.947748513169 662
1 10 0.0522514868309 664
5 0.1 0.0522514868309 419
5 1 0.77994902294 371
5 5 0.88572642311 585
5 10 0.0522514868309 666
10 0.1 0.947748513169 334
10 1 0.763381478335 398
10 5 0.527187765506 438
10 10 0.85896346644 374
100 0.1 0.0522514868309 419
100 1 0.135938827528 322
100 5 0.236618521665 485
100 10 0.625318606627 291
#final err 0.235 final c 0.1 final sigma 0.1
